species,larval,postlarval,juvenile.adult,total_farmed_d
vannamei,1.791203415,13.62666994,106.8889169,143.3748869
vannamei,1.672286768,15.95658481,67.48044638,154.371584
vannamei,1.686188992,12.48078545,74.05171778,127.9018066
vannamei,0.91867546,12.98323695,71.23425815,252.5299033
vannamei,3.070465865,10.96398856,95.776453,152.8482056
vannamei,1.252036654,19.93296705,83.28010616,111.2839381
vannamei,0.422853351,16.38773908,106.1902091,188.5517672
vannamei,2.706796477,14.94178286,78.38469582,230.0823349
vannamei,4.742240617,11.95413406,99.93515204,170.5452315
vannamei,3.68550968,14.22077732,71.78242641,132.484642
vannamei,1.975551046,14.33149608,50.92015175,137.3959956
vannamei,4.712725324,15.43810638,93.73255894,151.4758104
vannamei,6.781909956,17.20689385,97.03416904,103.6334253
vannamei,0.839450638,12.7945163,58.86720665,151.7358623
vannamei,0.489856686,14.02658021,55.48292859,210.9026164
vannamei,2.665950999,19.8329724,58.16333578,135.9858704
vannamei,3.65048516,13.51315546,52.99737376,165.7526043
vannamei,0.280695515,13.01394395,63.33756749,166.3765088
vannamei,2.334980205,19.2724486,98.20044738,158.6800827
vannamei,8.203429647,14.85760214,87.59563922,209.0918118
vannamei,4.138262664,15.17753847,61.63766404,149.56344
vannamei,1.522096316,13.47232067,67.39805121,149.0569554
vannamei,7.264173651,23.25192384,90.87903144,105.5502357
vannamei,7.979583176,15.36211498,96.59061529,123.0353363
vannamei,3.295623253,12.03422779,105.9891571,148.0679958
vannamei,0.486816717,15.1191356,72.59981596,168.3615701
vannamei,1.441629342,15.33928716,71.3701737,179.1354457
vannamei,1.786935434,15.47024937,66.7870771,191.4356156
vannamei,2.527692774,16.75676847,61.95000063,135.8907491
vannamei,1.9949456,14.71410974,80.86476539,242.0069789
vannamei,1.846334418,15.68088985,69.45339597,156.3649141
vannamei,0.907932268,15.85772073,74.43577329,163.4643324
vannamei,0.680673056,12.71065814,85.18943556,140.9327449
vannamei,2.144348981,18.00375795,80.80102555,196.8570539
vannamei,7.768983617,15.71780059,67.93269408,165.1079727
vannamei,5.354450984,13.73684851,76.73213774,117.8591494
vannamei,1.243049915,12.00171719,74.10807618,160.6376857
vannamei,2.654177637,20.5331526,105.4625461,184.4491057
vannamei,5.065761566,11.17014015,62.10856242,123.0012404
vannamei,1.157959005,15.70011281,95.81426938,147.1304804
vannamei,1.704963642,11.99909485,74.15830321,123.6224132
vannamei,0.630059039,18.8803878,64.84358506,198.3867693
vannamei,0.592025321,11.35351978,82.03856337,151.0409991
vannamei,0.700905431,18.0958988,74.51794295,112.6893708
vannamei,4.032581445,13.88476817,52.93489402,133.7641994
vannamei,2.176266746,15.41304379,64.93631619,143.5401861
vannamei,1.603962333,15.70639237,53.48118717,110.8628768
vannamei,10.25746785,14.8780281,103.3889257,118.8551407
vannamei,2.386362777,16.05167565,60.37383858,129.9529891
vannamei,11.47870094,12.75840233,65.48516192,149.6819225
vannamei,1.374161714,15.89929378,76.305097,181.4581948
vannamei,4.488853467,13.90059588,99.06801621,141.3343198
vannamei,3.420271673,21.61246591,59.08487461,182.8314675
vannamei,2.540994534,20.02555199,82.99001562,151.6353604
vannamei,3.592816251,12.92070197,64.8812145,126.1713001
vannamei,4.670285735,15.01999038,61.18043143,238.4444269
vannamei,4.59483042,14.16573916,88.55844061,151.3302615
vannamei,3.740001234,13.81551222,55.16129642,173.6183475
vannamei,3.574432132,11.09431305,96.34451961,119.6611991
vannamei,0.721866315,12.5906827,104.0027109,194.1141564
vannamei,4.381468221,10.65352254,65.61897073,129.3473137
vannamei,1.12137347,11.94279262,87.45788739,193.052956
vannamei,1.159057873,13.93503311,69.23695011,186.0430845
vannamei,0.566776117,17.13382455,67.79955762,134.6842039
vannamei,3.63606017,13.09674638,67.68497936,170.6541807
vannamei,1.242471932,14.71187867,98.91124592,130.7877661
vannamei,4.009280836,12.44269403,75.76054307,153.2157615
vannamei,0.907533528,14.24839568,55.16999485,170.5459447
vannamei,0.412882893,14.03035933,60.04772175,162.465972
vannamei,3.053105208,17.4696589,90.36570477,147.5274641
vannamei,1.401429917,12.47432816,97.22312434,136.8697122
vannamei,1.0179534,13.88172558,84.69161231,111.2673452
vannamei,4.369678428,20.07344432,88.71432521,157.552638
vannamei,0.959919473,13.11052838,56.2086642,180.1217848
vannamei,2.003314439,14.85395522,88.20904811,147.8903911
vannamei,0.320555935,16.65770391,65.2976177,155.2868031
vannamei,0.975212161,15.82728519,56.99787616,122.9229447
vannamei,1.537527684,19.61590771,59.90619515,197.1480822
vannamei,0.878141377,15.75834542,64.11447081,206.0190279
vannamei,2.628879351,17.30430669,107.861971,136.9738392
vannamei,1.275239339,17.64973913,59.56845438,141.903864
vannamei,3.890038645,13.42887116,108.1008899,145.3747069
vannamei,3.551854582,19.35700346,65.27748073,152.2785807
vannamei,0.540354654,18.56298497,85.78558336,198.5321882
vannamei,0.717391191,22.70167554,50.244037,121.4833564
vannamei,3.474881073,16.31716814,52.84423292,188.6839335
vannamei,1.068240921,13.30329345,59.50606451,151.3725088
vannamei,2.866023697,13.12604401,80.46988476,183.9759396
vannamei,2.807298265,15.14070628,73.37282505,160.6309983
vannamei,3.402099412,17.00534756,105.8149461,157.6897546
