vannamei,monodon,other_pen,macrobrchium
4.12722E+11,31186316725,10783276755,15655998834
2.65617E+11,12791463292,10586731263,31567631441
2.86225E+11,34568948610,65031382179,30756443108
1.99527E+11,17708913550,9738392645,35488833484
4.1786E+11,29400102074,54962892012,28532579524
4.43164E+11,35789626187,12109334050,21056564398
2.72603E+11,31137459167,28914230889,30844320110
4.35277E+11,18104473937,11002312028,36339547032
3.22285E+11,35868289889,22145658180,42783822384
1.94592E+11,26942567795,12175662873,33236318846
3.86378E+11,31652976860,8531964471,28762583497
3.29686E+11,19973620152,29509195907,28121877813
2.77536E+11,16915050363,11548885972,21202797352
3.0984E+11,18884118031,33489766422,18280061618
2.44186E+11,24309491146,37361643624,32026868846
3.03871E+11,22363131865,20830117507,26468445199
3.01471E+11,24285255758,16440575942,47329402386
3.26505E+11,21167367116,27105135512,23671786698
2.20512E+11,22301745044,21201783312,37774724485
4.1553E+11,32617258652,25638337119,30751043718
4.99086E+11,17964408280,39976738013,32933433573
2.32388E+11,23427069260,70284266686,33975364341
3.96584E+11,20817520930,22862883697,44740637926
1.77077E+11,19399096987,27421217896,43118719023
2.63397E+11,15558504980,29786985957,44034736866
2.38126E+11,26968353682,16495143037,32070388009
3.05105E+11,13071897684,21475738191,26141700098
3.87393E+11,28058942567,20530461062,39186601323
6.29898E+11,10142166856,11535685051,18076131937
2.79902E+11,21963878399,10461588079,31089493710
3.58E+11,35022902463,16851067348,34590047716
2.9369E+11,11445504319,17156303089,38696592504
4.05539E+11,18848943321,28594299374,32524248195
6.3881E+11,18635606518,43442415057,34652021122
2.33256E+11,20619448787,33670036937,38151871712
3.45215E+11,22753329172,7508287588,22149875870
3.98672E+11,16311269749,24007126492,31359204495
3.05557E+11,27453961482,26409256031,45562335305
3.07786E+11,18149569910,24437378408,26057929087
4.53167E+11,16406356802,23714334357,20882830263
3.02914E+11,25419297348,10712759054,39952804569
4.32153E+11,34714909353,38248304464,32354283110
2.75728E+11,15728535931,17952177567,34379920149
3.80407E+11,17021539039,11278543938,41480759952
4.88637E+11,18480046505,47635793996,34156245393
2.74395E+11,12630880662,26049567885,42371380505
4.68502E+11,18704675920,13959415861,39885261513
2.23319E+11,21884220635,33361698148,17530826672
3.92478E+11,15540794080,46835921094,23748183853
2.81524E+11,10611173617,23768830138,33648881788
2.96573E+11,27076212395,26560134129,27208650383
3.1978E+11,17073725956,29179131427,50730879608
3.97138E+11,21003837717,16628234611,24691893793
5.46706E+11,26941647789,22532294696,28257909529
6.51616E+11,13231610357,14374377840,33755084616
6.21458E+11,33115106966,27770357984,27223307458
4.84055E+11,15653199824,29298779336,24975845233
3.29129E+11,17660566996,27586254785,20054392789
3.66856E+11,31075090703,30604151787,27150816760
3.8773E+11,24327081771,16451698002,34244605423
3.08784E+11,26236326568,15577163754,37762770852
3.20898E+11,25927608598,16690100877,32091449961
3.32646E+11,16034715266,7479665429,33328963533
2.60789E+11,17994745404,31857166065,29834961146
3.01619E+11,20872177028,28182393406,28812454511
2.65278E+11,11458175016,22584753689,48092783703
4.81983E+11,15490257915,27533328258,26928068538
2.02363E+11,16380705962,32975943227,56677690883
4.53735E+11,31220995500,23859689681,47552697386
3.53028E+11,30725278324,11878934819,28453139725
4.54651E+11,16413432288,19967846490,27550702590
7.23375E+11,16821048282,18511717096,32891192347
3.17426E+11,21958636290,19966436046,30248590844
3.44682E+11,15759411887,22850348134,36185363599
3.27801E+11,28211249734,27019361242,31751019135
3.71261E+11,20921020639,11747132391,33792970992
3.63696E+11,18499550091,31093218131,18625267281
4.48824E+11,24287671347,33621859319,35643838501
3.65818E+11,20023202196,19067778509,41663870339
2.7637E+11,12059931630,37833975569,45461295827
4.60636E+11,17237714623,15627938494,34129884837
3.4723E+11,15202698972,23035583216,22483668015
2.31097E+11,15715841732,38119712966,34117448821
3.88407E+11,32022505907,15089273281,27989267179
3.68309E+11,14398071927,37543903306,33655321814
2.57236E+11,21259095858,7608704036,29956117929
4.3414E+11,9231348966,25271886228,22059488262
3.02702E+11,13311424353,14981626131,26609585799
4.38338E+11,25843440200,62575580013,31702797761
3.75856E+11,15427392363,51327994928,25402107096
3.17942E+11,16571512706,14718196980,27458512790
4.74748E+11,16881531747,22672708597,41765363644
1.88423E+11,16148070555,16343887282,21702061697
2.19181E+11,15016291277,22002418251,28958271502
4.9446E+11,18229009495,32941911373,28592779219
5.88446E+11,25969241014,37675414659,23456972853
3.01265E+11,14155790212,7305311578,26539321560
4.40778E+11,22911785344,25893744148,39513614687
1.68341E+11,16524006151,10106024155,21738960803
2.76696E+11,14065962497,27232593784,22677235351
4.75602E+11,18551035648,10859059488,37369302309
2.1452E+11,15139329751,13065918812,25449826245
1.87124E+11,41898164711,30454202027,25321469274
3.63892E+11,30009970307,35145213152,32737415802
3.22151E+11,13978009306,38190078048,32346174750
4.38057E+11,30208143036,15740443924,25108153618
4.30306E+11,20825957762,25941993183,30577228739
3.23836E+11,18318697584,16670421212,32548166239
3.4844E+11,15072168365,14060936574,29887494423
2.87981E+11,31121861806,22492358082,30366165129
2.31833E+11,24600184164,40103153961,42236581539
2.73137E+11,15859764473,21774907388,23799293467
3.24287E+11,25016768157,12284867906,39046889215
