species,larval,postlarval,juvenile.adult,total_farmed_d
monodon,4.491266092,26.43202296,58.32248952,169.2928116
monodon,0.698603204,14.84866301,63.45336684,165.7332247
monodon,0.856894769,16.99502671,56.31721486,186.7019603
monodon,2.757876797,14.17291626,148.0372353,156.0971613
monodon,2.801478186,22.63709284,148.9361453,165.7570228
monodon,0.399495265,12.62980964,70.89186992,163.4848301
monodon,2.767610228,19.26598706,122.2000709,154.5806643
monodon,0.831707638,12.51621667,40.1411269,150.7879014
monodon,6.669600696,17.02297696,69.12313851,187.4276069
monodon,1.094051981,19.97771047,51.6463562,205.297477
monodon,5.506598333,14.24193621,128.7328564,198.1839617
monodon,1.91056662,18.77323762,128.9840822,183.6737239
monodon,0.875268247,17.99271129,94.65252276,148.4494327
monodon,1.1432469,13.66781446,48.96154025,148.8125272
monodon,3.651943595,15.2515421,69.20253047,154.7924812
monodon,2.088825697,18.8332645,46.08595324,186.2003666
monodon,3.332203025,21.58231155,43.72227788,183.3449099
monodon,1.605007557,17.9859702,90.30036505,151.2414123
monodon,2.29059825,25.98275198,59.22780365,142.1382568
monodon,0.676433582,14.33758015,32.75187957,169.7832718
monodon,4.475876155,21.38791261,93.57920627,201.380617
monodon,0.704101872,19.9599458,55.488412,206.3842464
monodon,0.450596846,10.37793095,81.54808084,151.3594196
monodon,0.902745571,18.1686899,60.45709629,167.6862291
monodon,10.8016106,12.45405513,44.81875874,151.7343172
monodon,0.94320113,19.46083916,58.2277178,184.888141
monodon,4.857340289,22.0281953,31.16948933,217.7895584
monodon,0.708594836,14.82176947,44.25251481,181.1089858
monodon,1.258663174,21.19433103,60.43005411,201.9369503
monodon,0.548580162,12.45803748,31.99042591,159.1149539
monodon,0.754680023,22.12255047,72.44623458,202.602138
monodon,1.72770708,14.17926331,42.57547307,176.385512
monodon,7.473314144,17.2136958,124.5751964,182.4500912
monodon,3.225012698,11.53977129,47.5974413,124.896539
monodon,9.768878777,19.33040841,90.9240751,172.4613536
monodon,5.366690974,15.66915909,79.60553962,158.9815725
monodon,0.59253497,15.62495629,53.20988154,162.0865299
monodon,5.17635384,10.39136563,75.39512076,174.0098099
monodon,2.761183367,20.43442039,103.2398764,159.320626
monodon,0.73212397,17.18328944,152.1736772,152.9186384
monodon,2.8501924,15.61366706,56.85777574,183.8255759
monodon,4.784322827,17.414798,150.6400369,190.638446
monodon,3.991150403,25.73069415,85.8226996,157.8409181
monodon,4.124046982,12.788838,22.2461287,142.1213879
monodon,1.498906109,23.24355397,39.57891817,180.7608234
monodon,1.706769027,22.07897925,79.69786664,180.5992784
monodon,6.995610341,18.38447251,41.05081758,166.1566169
monodon,0.651137795,28.01267526,76.72570023,146.6902084
monodon,0.392273334,18.39313945,118.6074204,186.9093293
monodon,3.196625669,19.05523392,85.08530597,186.8778424
monodon,4.564231066,12.95970669,43.63835753,145.3249996
monodon,0.226255993,13.13145538,77.15376591,163.3979891
monodon,0.911143614,15.5738887,48.46753557,176.0784797
monodon,3.826128862,22.42832108,81.94749174,170.4459286
monodon,0.778801915,22.27150322,116.146532,179.1484873
monodon,1.964244027,18.56190628,97.42753957,199.9677559
monodon,9.533508906,15.44207295,82.97831111,183.4079488
monodon,5.200378987,15.34476189,96.78821884,149.7797274
monodon,1.20259546,13.2732312,60.10408049,173.1510787
monodon,1.994669224,19.41259653,70.52181198,210.0647571
monodon,3.341139075,12.19377671,40.52906381,184.7188787
monodon,2.532903643,13.72572047,58.91644398,167.3908082
monodon,7.763635555,13.13577031,37.27015328,152.7754372
monodon,3.144472519,20.19396521,75.9763724,184.6982946
